,Month1,ET1,Year,MonthYr
0,January,22.439532614278400,2021,January 2021
1,February,25.300287629335900,2021,February 2021
2,March,26.699277492086200,2021,March 2021
3,April,33.06348245127720,2021,April 2021
4,May,24.103292838874700,2021,May 2021
5,June,22.279761904761900,2021,June 2021
6,July,25.85224358974360,2021,July 2021
7,August,22.765450017176200,2021,August 2021
8,September,34.85307837345260,2021,September 2021
9,October,29.090299518778700,2021,October 2021
10,November,29.84856329000550,2021,November 2021
11,December,17.950614613530400,2021,December 2021
